CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL
12090904,02/16/2020 06:55:00 AM,02/20/2020 02:00:00 PM,02/20/2020 02:00:00 PM,Closed,Unable to Locate - Photos attached. Area checked okay.,RPD Park Patrol Queue,Rec and Park Requests,Park - UrbanForestry,Other,"Randolph and Bright Mini Park, , SAN FRANCISCO, CA, 94132",Randolph and Bright Mini Park,11,Merced Heights,TARAVAL,37.714586304536,-122.463629823292,"(37.7145863, -122.46362982)",Mobile/Open311,http://mobile311.sfgov.org/reports/12090904/photos
12093821,02/17/2020 06:54:00 AM,02/20/2020 01:59:00 PM,02/20/2020 01:59:00 PM,Closed,Unable to Locate,RPD Park Patrol Queue,Rec and Park Requests,Park - Park_Patrol,Other,"Randolph and Bright Mini Park, , SAN FRANCISCO, CA, 94132",Randolph and Bright Mini Park,11,Merced Heights,TARAVAL,37.714510071126,-122.46366033342,"(37.71451007, -122.46366033)",Mobile/Open311,http://mobile311.sfgov.org/reports/12093821/photos
12094742,02/17/2020 10:31:00 AM,02/20/2020 07:51:00 AM,02/20/2020 07:51:00 AM,Closed,"Case Resolved - Trash receptacles cleared as of Wednesday, 2/19/20.",Port Authority - G,Rec and Park Requests,Park - Neighborhood_Services_Area,Trash_Dumping,"Heron's Head Park, SAN FRANCISCO, CA, 94124",JENNINGS ST,10,India Basin,BAYVIEW,37.737716674805,-122.372573852539,"(37.73771667, -122.37257385)",Phone,
12024873,02/01/2020 12:37:00 PM,02/05/2020 08:30:11 AM,02/05/2020 08:30:11 AM,Closed,Case Resolved - The work was performed under work order #SMY-217435. The issue noted in the service request has been addressed.?Please open a new service request if you require further assistance.,RPD TMA Queue,Rec and Park Requests,Park - Neighborhood_Services_Area,Irrigation,"GGP Handball/Racquetball Courts, , SAN FRANCISCO, CA, 94122",GGP Handball/Racquetball Courts,1,Golden Gate Park,RICHMOND,37.7684714,-122.4655064,"(37.7684714, -122.4655064)",Mobile/Open311,http://mobile311.sfgov.org/reports/12024873/photos
12027521,02/02/2020 08:58:00 AM,02/08/2020 06:57:19 AM,02/08/2020 06:57:19 AM,Closed,Case Resolved,RPD Park Service Area 1 Queue,Rec and Park Requests,Park - Structural_Maintenance,Plumbing,"Mountain Lake Park, SAN FRANCISCO, CA, 94118",11TH AVE,2,Presidio Terrace,RICHMOND,37.787242889404,-122.469047546387,"(37.78724289, -122.46904755)",Phone,
12101063,02/18/2020 01:37:00 PM,02/20/2020 07:52:00 AM,02/20/2020 07:52:00 AM,Closed,"Case Resolved - Trash receptacles cleared as of Wednesday, 2/19/20.",Port Authority - G,Rec and Park Requests,Park - Neighborhood_Services_Area,Trash_Dumping,"Heron's Head Park, SAN FRANCISCO, CA, 94124",JENNINGS ST,10,India Basin,BAYVIEW,37.737716674805,-122.372573852539,"(37.73771667, -122.37257385)",Phone,
12040304,02/05/2020 12:00:00 AM,02/05/2020 07:37:00 AM,02/05/2020 07:37:00 AM,Closed,"Comment Noted - For a better response time, it is best to call park patrol directly to report this issue.",RPD Park Patrol Queue,Rec and Park Requests,Park - Park_Patrol,Park_Rules_Violation,"GGP Panhandle, , SAN FRANCISCO, CA, 94117",GGP Panhandle,5,Panhandle,PARK,37.773091759981,-122.442795266143,"(37.77309176, -122.44279527)",Mobile/Open311,
12041209,02/05/2020 08:48:00 AM,02/05/2020 10:15:00 AM,02/05/2020 10:15:00 AM,Closed,Case Resolved - Handled by park patrol.  This person has been advised and refused HOT services.,RPD Park Patrol Queue,Rec and Park Requests,Park - Park_Patrol,Park_Rules_Violation,"Juri Commons, , SAN FRANCISCO, CA, 94110",Juri Commons,9,Mission,MISSION,37.749504089355,-122.421989440918,"(37.74950409, -122.42198944)",Phone,
12042473,02/05/2020 12:07:00 PM,02/05/2020 01:51:19 PM,02/05/2020 01:51:19 PM,Closed,Case Resolved,RPD Park Service Area 6 Queue,Rec and Park Requests,Park - Park_Patrol,Lock_Out_Other,"Alioto Mini Park, , SAN FRANCISCO, CA, 94110",Alioto Mini Park,9,Mission,MISSION,37.758815842823,-122.418148572936,"(37.75881584, -122.41814857)",Mobile/Open311,
12076291,02/12/2020 02:22:00 PM,03/04/2020 02:47:32 PM,03/04/2020 02:47:32 PM,Closed,Case Resolved,RPD GGP Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,"GGP Dutch Windmill and Wilhelmina Tulip Garden, , SAN FRANCISCO, CA, 94122",GGP Dutch Windmill and Wilhelmina Tulip Garden,1,Golden Gate Park,RICHMOND,37.771322694642,-122.509942269067,"(37.77132269, -122.50994227)",Mobile/Open311,http://mobile311.sfgov.org/reports/12076291/photos
